tweet_id,label
849361005197086723,normal
847695149299752960,spam
848398496315125760,normal
848957236336623616,normal
850502606677884929,normal
850192752449130496,normal
847909142660603904,normal
848236734580183041,spam
850733465364508673,normal
847668448364699648,normal
848916371249520644,normal
848187774469582851,normal
848614167422668800,normal
847847503173214209,normal
849073259186450434,spam
850068684945190912,spam
849796315236139008,normal
850235668592697344,abusive
847623296661176320,normal
848481266727100417,abusive
849386888234491908,normal
849102615103275009,normal
848601639032422405,normal
849791521159303168,normal
849263651232124934,normal
850820639762075648,normal
848497955858501632,spam
848502632520044544,normal
847933931030806529,spam
850391214360842242,normal
850539646563999744,normal
847860593608577025,normal
849994974263463942,normal
850411799992250368,normal
848524522584068097,normal
848117696042594304,normal
850495237277581312,hateful
849031198672343040,abusive
847410100197138440,normal
850539826919223296,normal
848151309203189761,normal
847885205788663808,normal
847703223305502720,normal
848104030999953408,normal
849924749023203328,hateful
849989802682437632,normal
849828808517726208,normal
848875422242791424,normal
848128022414798849,normal
848257399924371460,normal
848663505024757761,spam
847444199888662529,normal
850456481904381952,normal
850060472510541824,normal
850241758701035520,spam
850328660477390849,hateful
849477262915379200,spam
850389863799164929,normal
849607168898760704,normal
847720378013171713,normal
849301840332238849,normal
848083562829983744,normal
848016651073335296,normal
848340929480200194,normal
848977742293020676,normal
848592793274638336,abusive
847502051911192576,normal
848195538126331905,normal
848983769486954496,normal
847496548975910912,spam
847478597354901505,normal
848559222057037825,normal
850086925990055936,normal
847466857518866433,normal
847935906552180739,normal
848501747513294848,normal
848505937614827525,normal
847810152900296705,normal
847512965490196480,normal
850219235317960704,spam
848285665351667712,normal
850588044650467328,normal
849350322300571649,normal
850720307824513024,normal
848537315219603456,hateful
850095343962394625,normal
849443586873667584,normal
849718418618167298,normal
849013918160883713,normal
848519934003085312,normal
847608402679218177,normal
850123282196115456,normal
849881941935443968,normal
849964230006755328,normal
849913239865622530,normal
850097025861517313,normal
850250327680888832,normal
850565345064529921,normal
849720100521467904,normal
849348917204582400,normal
849981036565889024,normal
849947461170999296,normal
848570982889644032,normal
850393059841802240,normal
849030812808888320,normal
850524651944128512,normal
848930661238964224,spam
848694035371802624,normal
850795192936353792,normal
848114973960269825,normal
850513302140604418,spam
848989817706827778,normal
847835264202416128,spam
849898563966558208,normal
849576286242648065,spam
848250311546482688,normal
849309209724420098,normal
847926368696283136,normal
848786997930065920,normal
848888231663894528,normal
848754714359607296,normal
849686336374280192,normal
848197622716223488,hateful
848297510053531650,spam
848569724602593281,spam
847913416673120256,normal
847720482883293184,spam
849666493147205633,normal
849938569233825792,normal
848269798287003652,normal
848554914481569792,spam
850352437999407104,normal
847643810997837829,normal
849668070196903936,normal
850522953259384832,normal
848613160802234369,normal
848148679370317824,normal
849771229087023104,normal
849803982444920832,normal
847412516112056323,normal
850123902973919234,normal
847697137378906112,normal
849376532497911808,spam
848597578958733312,normal
849587266926391296,spam
849687292679774208,normal
849693949061189632,normal
